n;Grade School;Divide and Conquer;Karatsuba
708;35.704;2774.54;2070.18
709;37.55;2774.37;2057.45
710;34.104;2601.02;2043.64
711;35.309;2766.22;2086.25
712;34.341;2674.49;1963.19
713;34.59;2740.09;2093.72
714;34.665;2773.69;2079.37
715;35.247;2691.19;2037.52
716;34.801;2825.92;2104.17
717;34.975;2698.51;1943.32
718;34.983;2593.92;1941.69
719;35.104;2674.51;1937.53
720;35.051;2573.09;1972
721;41.766;2722.72;1945.72
722;35.607;2813.57;2073.28
723;37.526;2927.65;2113.15
724;35.732;2624.32;1997.09
725;36.61;2691.77;2077.07
726;39.501;2597.13;1983.28
727;36.767;2615.67;2021.31
728;37.319;2615.32;1934.37
729;36.921;2562.81;1932.62
730;36.341;2597.19;2030.64
731;40.858;2684.25;1929.66
732;36.133;2621.7;2071.73
733;37.803;2671.83;1948.58
734;36.671;2564.64;1938.09
735;36.336;2574.8;1934.88
736;36.926;2570.57;1940.04
737;36.565;2579.62;1938.09
738;37.033;2549.99;1933.45
739;36.822;2549.3;1935.28
740;36.952;2548.53;1929.7
741;37.935;2548.87;1922.53
742;36.987;2580.6;1929.1
743;37.501;2596.31;1944.33
744;37.667;2569.85;1939.41
745;37.378;2584.19;1928.52
746;37.963;2600.28;1941.58
747;37.712;2559.78;1946.19
748;37.612;2553.32;1984.25
749;37.72;2564.55;1934.19
750;37.886;2552.74;1928.63
751;37.879;2566.67;1937.52
752;38.515;2553.72;1926.3
753;38.625;2568.36;1932.26
754;38.295;2561.09;1929.04
755;39.287;2560.94;1940.47
756;36.933;2457.11;1833.76
757;36.588;2403.4;1811.18
758;38.341;2393.63;1837.72
759;36.485;2484.82;1854.95
760;37.438;2462.22;1866.84
761;37.599;2460.38;1840.01
762;36.4;2412.09;1801.24
763;36.765;2389.28;1808.22
764;36.902;2385.02;1824.36
765;36.632;2430.11;1859.17
766;38.197;2452.39;1854.05
767;37.653;2507.98;1853.59
768;38.716;2479.34;1904.62
769;39.348;2634.19;2043.67
770;40.954;2642.59;2000.05
771;43.854;2687.68;2001.75
772;43.14;2640.45;1950.31
773;40.351;2602.98;1953.59
774;41.633;2595.19;2011.65
775;43.032;2739.97;2121.24
776;40.611;2833.89;1976.17
777;40.881;2724.23;1942.13
778;41.199;2737.02;2149.36
779;42.529;2768.84;2188.64
780;43.119;2706.42;1996.93
781;43.61;2643.57;1984.9
782;42.594;2690.81;1959.78
783;41.181;2552.92;1936.18
784;41.297;2560.23;1969.65
785;42.047;2576.45;1947.66
786;42.816;2602.95;1963.78
787;42.196;2623.99;1996.67
788;43.289;2638.96;1987.03
789;44.461;2656.57;1999.32
790;42.174;2614.79;1960.72
791;42.618;2596.7;1965.66
792;42.274;2630.19;1990.33
793;45.625;2640.53;1983.24
794;43.205;2638.18;1993.04
795;42.383;2623.22;1968.68
796;42.637;2601;2001.09
797;42.961;2649.84;2016.81
798;43.274;2669.62;2042.81
799;43.246;2625.52;2043.49
800;44.661;2649.74;2012.46
801;43.039;2573.22;1936.01
802;43.114;2555.68;1957.28
803;43.681;2700.65;2019.39
804;45.903;2664.69;2043.59
805;45.678;2644.27;2169.88
806;46.578;2704.58;2022.34
807;46.002;2659.67;2039.48
808;44.359;2644.08;1941.33
809;45.559;2644.54;2043.75
810;49.084;2650.59;1980.04
811;45.359;2608.43;2038.53
812;48.657;2718.08;1970.54
813;45.652;2577.92;1993.68
814;44.855;2608.73;1939.19
815;44.777;2565.58;1930.99
816;44.671;2612.36;1974.65
817;46.406;2641.58;2092.63
818;48.186;2691.9;2008.22
819;44.888;2630.96;1929.28
820;48.839;2628.5;1988.75
821;45.567;2587.33;2040.78
822;55.736;2598.92;1939.76
823;45.422;2568.33;1939.55
824;46.03;2555.1;1968.39
825;45.603;2565.13;1937.97
826;45.965;2818.01;2049.81
827;51.838;2800.74;1964.29
828;47.85;2631.96;1963.34
829;46.327;2593.12;1950.37
830;46.255;2585.52;1962.05
831;47.134;2580.39;1957.74
832;46.66;2596.27;1955.71
833;47.475;2570.5;1960
834;46.861;2578.2;1950.6
835;46.803;2582.1;1945.39
836;46.913;2581.77;2108.59
837;54.306;2794.14;2048.67
838;47.327;2673.67;1961.08
839;48.037;2572.04;1970.99
840;50.361;2581.62;1959.46
841;48.438;2575.14;1954.12
842;47.666;2581.85;1951.81
843;48.711;2574.38;1950.9
844;49.565;2588.51;1964.97
845;48.127;2615.82;2086.27
846;53.222;2621.75;2060.67
847;49.282;2672.36;2079.85
848;48.42;2651.2;2016.65
849;49.824;2791.11;2114.6
850;54.409;2700.22;2129.17
851;50.02;2760.74;2024.05
852;53.285;2762.34;1985.88
853;49.997;2577.38;1951.3
854;49.105;2585.49;2098.2
855;51.601;2677.02;2062.63
856;69.617;2734.56;2155.66
857;49.55;2773.08;2029.61
858;49.595;2778.25;2138.12
859;57.272;2714.55;2061.52
860;57.296;2614.53;1952.92
861;50.508;2576.48;1956.37
862;50.923;2634;2091.27
863;61.102;2842.09;2071.48
864;54.746;2756.38;2082.52
865;51.357;2628.89;2056.81
866;51.69;2713.28;2002.43
867;51.223;2674.62;2115.24
868;56.899;2722.3;2062.72
869;55.899;2807.84;1988.04
870;51.009;2575.53;1961.07
871;52.525;2825.89;2229.74
872;53.186;2672.16;2085.7
873;51.352;2578.56;2029.21
874;56.323;2782.16;2112.07
875;51.941;2633.76;2153.94
876;51.882;2712.58;2140.77
877;63.931;2825.63;2042.66
878;62.797;2681.92;2033.06
879;56.06;2691.05;2103.79
880;57.266;2695.52;2118.19
881;53.439;2709.09;2006.76
882;54.983;2591.44;1966.29
883;52.518;2567.6;1958.07
884;52.698;2639.52;2068.52
885;59.526;2705;2020.42
886;55.962;2689.69;2233.71
887;54.849;2872.13;2004.63
888;54.28;2770.22;2409.2
889;66.717;2664.25;2072.88
890;57.274;2748;2071.66
891;55.088;2856.37;2218.89
892;54.874;2647.56;2004.46
893;57.799;2746.44;2061.57
894;55.985;2729.8;2032.24
895;59.302;2704.82;2072.76
896;56.693;2628.12;1976.95
897;55.048;2656.94;1945.61
898;55.54;2561.42;1943.45
899;54.927;2562.94;1951.93
900;54.464;2674.89;2066.37
901;57.224;2658.26;2035.37
902;54.804;2854.41;2133.24
903;55.075;2676.2;2012.06
904;54.881;2556.33;1942.28
905;55.044;2832.27;2125.51
906;55.278;3017.94;2116.79
